parcelNo,vesselPositionStatus,expectedArrivalDateAtLoadPort,arrivedDateAtLoadPort,expectedArrivalDateAtDischargePort,arrivedDateAtDischargePort,blDate,blQuantity,customerGroup,vendor,parcelType,vesselName,loadPortName,dischargePortName,vesselNo,vesselType,supplierDemurrageRate,cOO,mineName,productName,supplierGroup,originWiseGrade,mineWiseGrade,grade,monthName
P27412526,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,37081,Stock and Sales,AEL,Parcel D,MV LILA NORFOLK,Muara Berau / Muara Jawa,Dahej,576-24-25,Cape,,Indonesia,Singlurus,INDO 4600 GAR,Miner / Refiner,INDO 4600,SI 4600,SINGLURUS 4600,Mar-25
P7022223,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,59000,TC - Direct Customer,SING HENG SENG,Parcel A,MV INTER STEVEDORING 8,Bunyu Anchorage,Thailand,327-22-23,Supramax,8000,Indonesia,Bunyu LIM,INDO 3000 GAR,Miner / Refiner,INDO 3000,BU 3000,BUNYU 3000,Nov-22
P6472223,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,95000,Stock and Sales,AEL,Parcel B,MV VENIA,Taboneo Anchorage,Dahej,265-22-23,Cape,13500,Indonesia,Adaro,INDO 4100 GAR,Trader,INDO 4100,AD 4100,ADARO 4100,Sep-22
P16472425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,79605,Stock and Sales,AEL,Parcel A,MV ASCANIO,Bunyu Anchorage,Hazira,615-23-24,Panamax,22000,Indonesia,Bunyu LIM,INDO 3000 GAR,Miner / Refiner,INDO 3000,BU 3000,BUNYU 3000,Mar-24
P8672324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,71500,SEB,NTPC,Parcel A,MV MAROULIO,"IBT, S/KAL",Gangavaram,427-22-23,Panamax,14000,Indonesia,MME (MEGA MULTI ENERGI),INDO 4600 GAR,Trader,INDO 4600,MM 4600,MME 4600,Feb-23
P3122223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,20000,Stock and Sales,AEL,Parcel B,MV SPRING BRIGHT,Muara Berau Anchorage,Navlakhi + Hazira,048 - 22-23,Cape,20000,Indonesia,BSSR,INDO 4100 GAR,Miner / Refiner,INDO 4100,BS 4100,BSSR 4100,May-22
P14712425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,79807,APL,APL,Parcel B,MV NAVIOS ETOILE,BCT and BOA or BOA and MBA,Mundra,075-24-25,Cape,27000,Indonesia,Bayan,INDO 4000 GAR,Miner / Refiner,INDO 4000,TA 4000,TA 4000,May-24
P0572122,Completed At DP,00:00.0,00:00.0,00:00.0,,00:00.0,109016.59,Stock and Sales,AEL,Parcel A,MV EDGAR,United Bulk Terminal (UBT),Tuna,231-21-22,Cape,85000,USA,USA ILB,US ILB 6000 NAR,Miner / Refiner,USA 6000,AL 6000,ALLIANCE 6000,Nov-21
P6922223,To DP,00:00.0,00:00.0,00:00.0,,00:00.0,128388,Stock and Sales,AEL,Parcel A,MV TRUE CARDINAL,CMT-Baltimore,Tuna,321-22-23,Baby Cape,28000,USA,USA Bailey/Enlow Fork/Harvey,US 6900 NAR,Miner / Refiner,USA 6900,CO 6900,CONSOL 6900,Nov-22
P11692324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,80132,SEB,NTPC,Parcel A,MV MH PHOENIX BEAUTY,Taboneo Anchorage,SANDHEADS,330-23-24,Cape,23000,Indonesia,Adaro,INDO 4700 GAR,Trader,INDO 4700,AD 4700,ADARO 4700,Nov-23
P11172324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,72568,SEB,NTPC,Parcel A,MV PROTEFS,Tarakan Anch,Mundra,285-23-24,Panamax,16363,Indonesia,MIP,INDO 4800 GAR,Miner / Refiner,INDO 4800,MI 4800,MIP 4800,Sep-23
P1902122,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,108016,Stock and Sales,AEL,Parcel A,MV MARAN ASPIRATION,PWCS or NCIG,Krishnapatnam,274-21-22,Baby Cape,35000,AUS,AUS BHP,AUS 5100 Min,Miner / Refiner,AUS 5100,BH 5100,BHP 5100,Dec-21
P10512324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,78215,Stock and Sales,AEL,Parcel A,MV NURI BEY,Muara Pantai,Gangavaram,273-23-24,Panamax,16250,Indonesia,Berau,INDO 5000 GAR,Trader,INDO 5000,BE 5000,BERAU 5000,Sep-23
P19162425,Completed At DP,,,,00:00.0,00:00.0,54999.973,Stock and Sales,ACC,Parcel A,MV JIN XIANG,LP in USA/SAUDI at Seller's Option,Gangavaram,155-24-25,Supramax,19000,USA or Saudi - P,AS per Remarks,USA/SAUDI P.C.,Miner / Refiner,USA ,AR ,ARAMCO ,Jun-24
P25012425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,80000,APL,APL,Parcel A,MV FRONTIER ASUKA,TBCT,Mundra,529-24-25,Cape,9709,Indonesia,Melawan Mine,INDO 4700 GAR,Miner / Refiner,INDO 4700,KP 4700,KPC 4700,Jan-25
P11742324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,74450,Stock and Sales,AEL,Parcel A,MV AEOLIAN HERITAGE,Tj Pemachingam,Krishnapatnam,354-23-24,Panamax,20500,Indonesia,Jhonlin,INDO 3800 GAR,Miner / Refiner,INDO 3800,JH 3800,JHONLIN 3800,Oct-23
P23652425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,80000,SEB,NTPC,Parcel B,MV YUE MAY,Tarahan,Dahej,463-22-23,Cape,,Indonesia,PT BA,INDO 5000 GAR,Miner / Refiner,INDO 5000,BA 5000,BA 5000,Mar-23
P16952425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,78900,SEB,NTPC,Parcel B,MV NAVIOS BEAUFIKS,Tarakan Anch,Gangavaram,026-23-24,Cape,18000,Indonesia,MIP,INDO 4800 GAR,Miner / Refiner,INDO 4800,MI 4800,MIP 4800,Apr-23
P4102223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,70136,SEB,NTPC,Parcel A,MV QUORN,Muara Berau Anchorage,Gangavaram,097-22-23,Cape,38500,Indonesia,IPC,INDO 4800 GAR,Miner / Refiner,INDO 4800,IP 4800,IPC 4800,May-22
P12162324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,69215,Stock and Sales,AEL,Parcel A,MV SAKIZAYA CHAMPION,Taboneo Anchorage,Karaikal,430-23-24,Panamax,20646,Indonesia,Adaro,INDO 4100 GAR,Trader,INDO 4100,AD 4100,ADARO 4100,Dec-23
P5392223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,SEB,NTPC,Parcel A,MV P.S PALIO,Muara Pantai,Gangavaram,159-22-23,Cape,24000,Indonesia,Berau,INDO 4800 GAR,Trader,INDO 4800,BE 4800,BERAU 4800,Jun-22
P20502425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,40000,Stock and Sales,AEL,Parcel B,MV GEORGITSI,RBCT,Dhamra,305-24-25,Panamax,19000,SA,SA  Seriti (S32),SA 4500 Min,Trader,SA 4500,S3 4500,S32 4500,Sep-24
