parcelNo,vesselPositionStatus,expectedArrivalDateAtLoadPort,arrivedDateAtLoadPort,expectedArrivalDateAtDischargePort,arrivedDateAtDischargePort,blDate,blQuantity,customerGroup,vendor,parcelType,vesselName,loadPortName,dischargePortName,vesselNo,vesselType,supplierDemurrageRate,cOO,mineName,productName,supplierGroup,originWiseGrade,mineWiseGrade,grade,monthName
P24702425,Completed At DP,00:00.0,00:00.0,00:00.0,,00:00.0,60056,SEB,NTPC,Parcel A,MV PACIFIC ADVANCE,Taboneo Anchorage,Krishnapatnam,483-24-25,Supramax,,Indonesia,MME (MEGA MULTI ENERGI),INDO 4500 GAR,Miner / Refiner,INDO 4500,MM 4500,MME 4500,Dec-24
P16852425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,72621,APL,UDUPI POWER,Parcel A,MV ALEXANDROS PETRAKIS,Muara Berau / Muara Jawa,New Mangalore,638-23-24,Panamax,22000,Indonesia,GBU,INDO 5200 GAR,Trader,INDO 5200,GB 5200,GBU 5200,Mar-24
P13872425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,SEB,MAHA GENCO,Parcel B,MV NAOMI,TBCT,Krishnapatnam,029-24-25,Cape,24500,Indonesia,Melawan Mine ,INDO 4700 GAR,Miner / Refiner,INDO 4700,KP 4700,KPC 4700,Apr-24
P4652223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,18993,SEB,NTPC,Parcel C,MV WISDOM OF THE SEA,Muara Berau Anchorage,Mundra,215-22-23,Cape,20000,Indonesia,Singlurus,INDO 4600 GAR,Miner / Refiner,INDO 4600,SI 4600,SINGLURUS 4600,Aug-22
P0102122,Completed At DP,00:00.0,00:00.0,00:00.0,,00:00.0,81814,Stock and Sales,AEL,Parcel A,MV NEW HYDRA,RBCT,Gangavaram,183-21-22,Cape,51000,SA,AS per Remarks,SA 5200 Min,Trader,SA 5200,,,21-Sep
P24422425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,51664,Stock and Sales,AEL,Parcel C,MV SPRING CITRUS,Muara Berau / Muara Jawa,Hazira,444-24-25,Cape,34000,Indonesia,LHI,INDO 3800 GAR.,Miner / Refiner,INDO 3800,LH 3800,LHI 3800,Dec-24
P2262223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,71100,Stock and Sales,AEL,Parcel B,MV C VISION,Muara Pantai,Mundra,378-21-22,Cape,16000,Indonesia,Berau,INDO 5000 GAR,Miner / Refiner,INDO 5000,BE 5000,BERAU 5000,22-Mar
P8202324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,100000,Stock and Sales,AEL,Parcel B,MV ARIADNE,Bunyu Anchorage,Hazira,398-22-23,Cape,,Indonesia,Bunyu LIM,INDO 3000 GAR,Miner / Refiner,INDO 3000,BU 3000,BUNYU 3000,Feb-23
P3292223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,80200,SEB,NTPC,Parcel B,MV TAMPA,Muara Pantai,Mundra,065-22-23,Cape,31500,Indonesia,Berau,INDO 5100 GAR,Trader,INDO 5100,BE 5100,BERAU 5100,May-22
P25432425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,60500,Stock and Sales,AEL,Parcel A,MV PACIFIC MERIT,Meulaboh,Hazira,560-24-25,Supramax,,Indonesia,MIFA,INDO 3400 GAR,Thru Broker,INDO 3400,MI 3400,MIFA 3400,Feb-25
P22572425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,30000,Stock and Sales,AEL,Parcel A,MV VISHVA JYOTI,RBCT,Tuna,414-24-25,Panamax,18000,SA,SA Glencore,SA 5200 Min,Miner / Refiner,SA 5200,GI 5200,GIAG 5200,Nov-24
P22412425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,79460,APL,APL,Parcel A,MV BBG KUANTAN,Tarahan Port / Tj. Kampeh anch at seller's option,Mundra,422-24-25,Panamax,15728,Indonesia,PT BA,INDO 4800 GAR,Miner / Refiner,INDO 4800,BA 4800,BA 4800,Nov-24
P25752425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,84400,APL,APL,Parcel B,MV EREIKOUSSA,TBCT,Mundra,582-24-25,Cape,15000,Indonesia,Melawan Mine,INDO 4700 GAR,Miner / Refiner,INDO 4700,KP 4700,KPC 4700,Mar-25
P9172324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,APL,APL,Parcel B,MV KYMOPOLIA,Tj Kampeh,Mundra,014-23-24,Cape,19000,Indonesia,MME,INDO 4750 GAR,Trader,INDO 4750,MM 4750,MME 4750,Apr-23
P25612425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,76026,APL,APL,Parcel A,MV BELLA OLYMPIA,Taboneo Anchorage,Tuticorin,573-24-25,Panamax,11500,Indonesia,BMB,INDO 4200 GAR,Miner / Refiner,INDO 4200,BM 4200,BMB 4200,Mar-25
P19772425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,35000,Stock and Sales,AEL,Parcel A,MV LYRIC HARMONY,RBCT,Goa,306-24-25,Panamax,19000,SA,AS per Remarks,SA 5300 Min,Trader,SA 5300,,,Sep-24
P7902324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,164997,Stock and Sales,AEL,Parcel A,MV. EXCEL,Abbot Point,Gangavaram,368-22-23,Cape,14500,AUS - CM,BRAVUS - Carmichael,AUS 4500 NAR,Trader,AUS 4500,CC 4500,BRAVUS-CARMICHAEL 4500,Jan-23
P25742425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,80000,APL,APL,Parcel A,MV EREIKOUSSA,TBCT,Mundra,582-24-25,Cape,15000,Indonesia,Melawan Mine,INDO 4700 GAR,Miner / Refiner,INDO 4700,KP 4700,KPC 4700,Mar-25
P8682324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,74260,APL,UDUPI POWER,Parcel A,MV AOM SOPHIE II,Tarahan,New Mangalore,429-22-23,Panamax,16500,Indonesia,PT BA,INDO 5000 GAR,Miner / Refiner,INDO 5000,BA 5000,BA 5000,Feb-23
P27282526,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,54900,Stock and Sales,AEL,Parcel A,MV AKIJ STAR,Meulaboh,Hazira,064-25-26,Supramax,16000,Indonesia,MIFA,INDO 3400 GAR,Thru Broker,INDO 3400,MI 3400,MIFA 3400,May-25
P11572324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,77000,TC - Direct Customer,XINFENGRUN,Parcel A,MV MSXT BELLONA,Abbot Point,China,180-23-24,Panamax,13000,AUS - CM,BRAVUS - Carmichael,3000 - 5500 GAR,Miner / Refiner,AUS 5500,CM 5500,BRAVUS-CARMICHAEL 5500,Jul-23
P4702223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,60122,Stock and Sales,AEL,Parcel A,MV DARYA MAYA,Muara Sabak Anchorage,Any Port India,143-22-23,Ultramax,33000,Indonesia,SGM,INDO 3400 GAR,Miner / Refiner,INDO 3400,SG 3400,SGM 3400,Jul-22
P23282425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,80670,APL,APL,Parcel B,MV MINERAL VOLOS,TBCT,Mundra,430-24-25,Cape,25500,Indonesia,Melawan Mine,INDO 4700 GAR,Miner / Refiner,INDO 4700,KP 4700,KPC 4700,Nov-24
P22822425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82750,Stock and Sales,AEL,Parcel A,MV AANYA,Abbot Point,Gangavaram,335-22-23,Cape,,AUS - CM,BRAVUS - Carmichael,AUS 4500 NAR,Trader,AUS 4500,CC 4500,BRAVUS-CARMICHAEL 4500,Dec-22
P19422425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,74600,Stock and Sales,AEL,Parcel A,MV SM NEW ORLEANS,Taboneo Anchorage,Tuticorin,283-24-25,Panamax,17000,Indonesia,BMB,INDO 4200 GAR,Miner / Refiner,INDO 4200,BM 4200,BMB 4200,Sep-24
P21932425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,35000,Stock and Sales,AEL,Parcel A,MV KERKIS,Muara Berau / Muara Jawa,Navlakhi,371-24-25,Cape,32005,Indonesia,LHI,INDO 3800 GAR.,Miner / Refiner,INDO 3800,LH 3800,LHI 3800,Oct-24
P24182425,Arrived at LP,,,00:00.0,00:00.0,00:00.0,53757.89,Stock and Sales,ACC,Parcel A,MV OCEAN FREEDOM,Any Port in USA,Mundra,451-24-25,Supramax,,USA,ARAMCO,ARAMCO P.C. (USA),Miner / Refiner,USA ,AR ,ARAMCO ,Dec-24
P21262425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,APL,APL,Parcel B,MV PACIFIC VISTA,TBCT,Mundra,423-23-24,Cape,20000,Indonesia,Melawan Mine,INDO 4700 GAR,Miner / Refiner,INDO 4700,KP 4700,KPC 4700,Dec-23
P10252324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,100000,APL,APL,Parcel A,MV ANYA,Abbot Point,Dhamra,131-23-24,Cape,18500,AUS,AS per Remarks,AUS 3000 - 5500 GAR,Trader,AUS 5500,,,Jul-23
P9902324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,74161,Stock and Sales,AEL,Parcel A,MV MINERAL OAK,Abbot Point,Krishnapatnam,068-23-24,Cape,17818,AUS,AS per Remarks,AUS 3000 - 5500 GAR,Trader,AUS 5500,,,May-23
P11902324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,SEB,GEB,Parcel A,MV ALEXANDRA P,Muara Pantai,Mundra + Dahej,410-23-24,Cape,19500,Indonesia,Berau,INDO 5100 GAR,Miner / Refiner,INDO 5100,BE 5100,BERAU 5100,Nov-23
P13662425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,32000,SEB,NTPC,Parcel B,MV SHI DAI I,Tarakan Anch,Any Port India,483-23-24,Panamax,16700,Indonesia,MIP,INDO 4800 GAR,Miner / Refiner,INDO 4800,MI 4800,MIP 4800,Jan-24
P13402425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,72323,TC - Direct Customer,ZTG,Parcel A,MV GUANG XIN,Abbot Point,China,018-24-25,Panamax,23500,AUS - CM,BRAVUS - Carmichael,3000 - 5500 GAR,Miner / Refiner,AUS 5500,CM 5500,BRAVUS-CARMICHAEL 5500,Apr-24
P4202223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,74581,Stock and Sales,AEL,Parcel A,MV LIGHT VENTURE,Muara Berau Anchorage,Dahej,102-22-23,Panamax,35000,Indonesia,BSSR,INDO 4100 GAR,Miner / Refiner,INDO 4100,BS 4100,BSSR 4100,Jun-22
P2302223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,47500,SEB,NTPC,Parcel C,MV MONTECRISTO,Tj Kampeh,Mundra,375-21-22,Cape,16000,Indonesia,MME,INDO 4700 GAR,Miner / Refiner,INDO 4700,MM 4700,MME 4700,22-Mar
P3532223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,161865,APL,APL,Parcel A,MV GENCO ENDEAVOUR,Bunati Anchorage,Mundra,184-22-23,Cape,26000,Indonesia,BIB,INDO 4200 GAR,Miner / Refiner,INDO 4200,BI 4200,BIB 4200,Jul-22
P1192122,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,727,Stock and Sales,AEL,Parcel B,MV BERGE APO,RBCT,Gangavaram,313-21-22,Cape,20500,SA,SA Glencore,SA 5200 Min,Miner / Refiner,SA 5200,GI 5200,GIAG 5200,Feb-22
P24502425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,35000,Stock and Sales,AEL,Parcel A,MV ADONIS,Muara Berau / Muara Jawa,Navlakhi,484-24-25,Cape,15668,Indonesia,BSSR,INDO 4100 GAR,Miner / Refiner,INDO 4100,BS 4100,BSSR 4100,Dec-24
P9842324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,60500,Stock and Sales,AEL,Parcel A,MV BEAUTY LILY,,Navlakhi,122-23-24,Supramax,10000,,,,,,,,Jun-23
P13282425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,72030,SEB,NTPC,Parcel A,MV CAPT STEFANOS,Tarahan Port / Tj. Kampeh anch at seller's option,New Mangalore,087-24-25,Panamax,20750,Indonesia,PT BA,INDO 5000 GAR,Miner / Refiner,INDO 5000,BA 5000,BA 5000,May-24
P19782425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,80000,APL,APL,Parcel A,MV NAVIOS LUZ,TBCT,Mundra,292-24-25,Cape,27500,Indonesia,Melawan Mine ,INDO 4700 GAR,Miner / Refiner,INDO 4700,KP 4700,KPC 4700,Sep-24
P20912425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,99000,APL,APL,Parcel A,MV EUROPE,TBCT,Mundra,378-23-24,Cape,18000,Indonesia,Melawan Mine,INDO 4700 GAR,Miner / Refiner,INDO 4700,KP 4700,KPC 4700,Nov-23
P0422122,Completed At DP,00:00.0,00:00.0,00:00.0,,00:00.0,61781,TC - Direct Customer,,Parcel A,MV AFRICAN OASIS,RBCT,Puttalam,210-21-22,Ultramax,45000,SA,SA Glencore,SA 5700 Min,Miner / Refiner,SA 5700,GI 5700,GIAG 5700,Oct-21
P15412425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,77100,SEB,NTPC,Parcel A,MV KASTOR,TBCT,Paradip,531-23-24,Panamax,14671,Indonesia,Melawan Mine,INDO 4700 GAR,Miner / Refiner,INDO 4700,KP 4700,KPC 4700,Feb-24
P8802324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,49500,Stock and Sales,AEL,Parcel A,MV COMMON GALAXY,Muara Berau Anchorage,Hazira,445-22-23,Supramax,13107,Indonesia,PT Ghani Raya Mandiri (PT GRM),INDO 3800 GAR,Trader,INDO 3800,GR 3800,GRM 3800,Feb-23
P19182425,Completed At DP,,,,00:00.0,00:00.0,50498.93,Stock and Sales,ACC,Parcel A,MV AVENTICUM,Any Port in USA,New Mangalore,103-24-25,Supramax,26000,USA,AS per Remarks,USA Pet Coke 7400 - 7600 NAR,Trader,USA 7600,,,Jun-24
P14952425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,76611,Stock and Sales,AEL,Parcel A,MV FANEROMENI,Muara Berau / Muara Jawa,Hazira,129-24-25,Panamax,20840,Indonesia,PT INSANI BARAPERKASA,INDO 4050 GAR,Trader,INDO 4050,IN 4050,INSANI 4050,Jun-24
P23232425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,55650,TC - Direct Customer,THAILAND ANTHRACITE,Parcel A,MV SANIA,Bunyu Anchorage,Thailand,503-23-24,Supramax,15000,Indonesia,Bunyu LIM,INDO 3000 GAR,Miner / Refiner,INDO 3000,BU 3000,BUNYU 3000,Jan-24
P5992223,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,55000,Stock and Sales,AEL,Parcel A,MV GREEN GALAXY,Bunyu Anchorage,Mundra,258-22-23,Cape,14000,Indonesia,Bunyu LIM,INDO 3000 GAR,Miner / Refiner,INDO 3000,BU 3000,BUNYU 3000,Sep-22
P2182223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,Stock and Sales,AEL,Parcel A,MV BERGE TORRE,Tarakan Anch,Mundra,382-21-22,Cape,22000,Indonesia,MIP,INDO 4800 GAR,Miner / Refiner,INDO 4800,MI 4800,MIP 4800,22-Mar
P23502425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,75120,Stock and Sales,AEL,Parcel A,MV THUNDER ISLAND,Tj Pemachingam,Dahej,453-22-23,Panamax,,Indonesia,Jhonlin,INDO 3800 GAR,Miner / Refiner,INDO 3800,JH 3800,JHONLIN 3800,Mar-23
P24792425,To DP,00:00.0,00:00.0,,,00:00.0,55950,TC - Direct Customer,THAILAND ANTHRACITE,Parcel A,MV JAG RAJIV,Tentative (LC Planning),Thailand,502-24-25,Supramax,,Indonesia,Tentative (LC Planning),Tentative (LC Planning),Miner / Refiner,INDO ,,,Jan-25
P19332425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,76915,SEB,NTPC,Parcel A,MV LILA HANGZHOU,Muara Berau / Muara Jawa,Mundra,275-24-25,Cape,21000,Indonesia,Singlurus,INDO 4600 GAR,Miner / Refiner,INDO 4600,SI 4600,SINGLURUS 4600,Sep-24
P5192223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,37577,Stock and Sales,AEL,Parcel A,MV SEA PEGASSUS,RBCT,Dhamra,146-22-23,Panamax,38000,SA,SA Anglo,SA 5200 Min,Miner / Refiner,SA 5200,AN 5200,ANGLO 5200,Jun-22
P3682223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,48214,SEB,NTPC,Parcel A,MV SOUND YOUNG,Tj Kampeh,Paradip,169-22-23,Panamax,32500,Indonesia,MME,INDO 4700 GAR,Trader,INDO 4700,MM 4700,MME 4700,Jun-22
P17552425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,75560,Stock and Sales,AEL,Parcel A,MV ALPHA ETHOS,Adang Bay,Dahej,153-23-24,Panamax,15000,Indonesia,kideco,INDO 4200 GAR,Miner / Refiner,INDO 4200,KI 4200,KIDECO 4200,Jul-23
P9392324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,37900,Stock and Sales,AEL,Parcel C,MV SOUTHERN CROSS DREAM,Muara Berau Anchorage,Hazira,156-23-24,Cape,23000,Indonesia,AKG,INDO 4600 GAR,Trader,INDO 4600,AK 4600,AKG 4600,Jul-23
P14212425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,12200,Stock and Sales,AEL,Parcel A,MV GALATEIA,Muara Berau Anchorage,Dahej,467-23-24,Panamax,18183,Indonesia,AKG,INDO 4400 GAR,Trader,INDO 4400,AK 4400,AKG 4400,Dec-23
P8622324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,76490,SEB,NTPC,Parcel A,MV AMO,TBCT,Goa,416-22-23,Panamax,14600,Indonesia,Melawan Mine,INDO 5000 GAR,Miner / Refiner,INDO 5000,KP 5000,KPC 5000,Feb-23
P2952223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,72577,APL,UDUPI POWER,Parcel A,MV SKYROS,Muara Berau Anchorage,New Mangalore,036 - 22-23,Post Panamax,29500,Indonesia,GBU,INDO 5300 GAR,Miner / Refiner,INDO 5300,GB 5300,GBU 5300,May-22
P18892425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,80755,APL,APL,Parcel B,MV SSI BRILLIANT,TBCT,Mundra,226-24-25,Cape,25000,Indonesia,Melawan Mine ,INDO 4700 GAR,Miner / Refiner,INDO 4700,KP 4700,KPC 4700,Aug-24
P9212324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,Stock and Sales,AEL,Parcel B,MV XIN RUN,Muara Pantai,Mundra + Dahej,009-23-24,Cape,,Indonesia,Berau,INDO 4800 GAR,Trader,INDO 4800,BE 4800,BERAU 4800,Apr-23
P13182425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,45400,Stock and Sales,AEL,Parcel B,MV ORIENTAL EXPRESS,Kaliorang Anch,Hazira,048-24-25,Cape,27500,Indonesia,Indexim,INDO 4200 GAR,Trader,INDO 4200,IN 4200,INDEXIM 4200,Apr-24
P24742425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,60500,Stock and Sales,AEL,Parcel A,MV TRUONG MINH PROSPERITY,Meulaboh,Kakinada,501-24-25,Supramax,,Indonesia,MIFA,INDO 3400 GAR,Thru Broker,INDO 3400,MI 3400,MIFA 3400,Jan-25
P13842425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,APL,APL,Parcel A,MV FLORIDA,TBCT,Mundra,020-24-25,Cape,25000,Indonesia,Melawan Mine ,INDO 4700 GAR,Miner / Refiner,INDO 4700,KP 4700,KPC 4700,Apr-24
P10282324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82100,Stock and Sales,AEL,Parcel A,MV CS HANG ZHOU,TBCT,Mundra + Dahej,163-23-24,Cape,18691,Indonesia,Melawan Mine,INDO 4200 GAR,Miner / Refiner,INDO 4200,KP 4200,KPC 4200,Jul-23
P26412425,Completed At DP,00:00.0,00:00.0,,,00:00.0,80000,APL,APL,Parcel B,MV LAKE D,Taboneo Anchorage,Dahej,618-24-25,Cape,27273,Indonesia,Adaro,INDO 4700 GAR,Trader,INDO 4700,AD 4700,ADARO 4700,Mar-25
P14572425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,30000,Stock and Sales,AEL,Parcel B,MV EVANGELISTRIA,Tj Pemachingam,Haldia,501-23-24,Panamax,19000,Indonesia,Jhonlin,INDO 3800 GAR,Miner / Refiner,INDO 3800,JH 3800,JHONLIN 3800,Jan-24
P8302324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,82500,SEB,NTPC,Parcel A,MV AGIOS CHARLAMBOS,Tarakan Anch,Krishnapatnam,407-22-23,Cape,14000,Indonesia,MIP,INDO 4800 GAR,Miner / Refiner,INDO 4800,MI 4800,MIP 4800,23-Feb
P22912425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,50000,Stock and Sales,AEL,Parcel A,MV BARBARIAN HONOR,Muara Berau Anchorage,Krishnapatnam,409-22-23,Cape,,Indonesia,BSSR,INDO 3500 GAR,Miner / Refiner,INDO 3500,BS 3500,BSSR 3500,Feb-23
P6542223,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,60500,TC - Direct Customer,GANDHAR,Parcel A,MV HUA RONG 26,Meulaboh,Vizag,220-22-23,Panamax,35000,Indonesia,MIFA,INDO 3400 GAR,Miner / Refiner,INDO 3400,MI 3400,MIFA 3400,Aug-22
P0772122,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,124224,Stock and Sales,AEL,Parcel A,MV MH PHOENIX BEAUTY,CNX / CMT Baltimore,Tuna,309-21-22,Cape,35000,USA,USA Bailey/Enlow Fork/Harvey,US 6900 NAR,Miner / Refiner,USA 6900,CO 6900,CONSOL 6900,Feb-22
P2772223,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,67000,Stock and Sales,AEL,Parcel A,MV GOLDEN KAKI,Muara Berau Anchorage,Mundra + Dahej,029-22-23,Cape,18000,Indonesia,BSSR,INDO 4100 GAR,Miner / Refiner,INDO 4100,BS 4100,BSSR 4100,Apr-22
P12972425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,77000,Stock and Sales,AEL,Parcel A,MV CAPE LEGACY,Muara Berau Anchorage,Navlakhi + Hazira,349-23-24,Cape,31759,Indonesia,BSSR,INDO 4000 GAR,Miner / Refiner,INDO 4000,BS 4000,BSSR 4000,Nov-23
P11802324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,80850,APL,APL,Parcel A,MV YANGTZE CROWN,Tj Pemachingam,Mundra,374-23-24,Panamax,18500,Indonesia,Jhonlin,INDO 3800 GAR,Trader,INDO 3800,JH 3800,JHONLIN 3800,Nov-23
P22862425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,27200,Stock and Sales,AEL,Parcel C,MV GENCO COMMODUS,Abbot Point,Mundra,339-22-23,Cape,,AUS - CM,BRAVUS - Carmichael,AUS 4500 NAR,Trader,AUS 4500,CC 4500,BRAVUS-CARMICHAEL 4500,Dec-22
P1592122,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,55000,Stock and Sales,AEL,Parcel A,MV KMAX EMPEROR,Taboneo Anchorage,Dahej,365-21-22,Post Panamax,29000,Indonesia,BMB,INDO 4200 GAR,Trader,INDO 4200,BM 4200,BMB 4200,Mar-22
P12592324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,76207,Stock and Sales,AEL,Parcel A,MV GLORIOUS SKY,Adang Bay,Dahej,345-23-24,Panamax,19500,Indonesia,kideco,INDO 4200 GAR,Miner / Refiner,INDO 4200,KI 4200,KIDECO 4200,Oct-23
P25142425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,40500,Stock and Sales,AEL,Parcel B,MV HUDSON TRADER,Muara Berau / Muara Jawa,Dahej,522-24-25,Panamax,10500,Indonesia,Singlurus,INDO 4600 GAR,Miner / Refiner,INDO 4600,SI 4600,SINGLURUS 4600,Jan-25
P24002425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,147011,TC - Direct Customer,STARPORT,Parcel A,MV HIGHLAND PARK,Abbot Point,China,491-22-23,Cape,,AUS,AS per Remarks,AUS 3000 - 5500 GAR,Trader,AUS 5500,,,Apr-23
P24842425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,165000,APL,APL,Parcel A,MV CAPE TSUBAKI,Kaliorang Anch,Mundra,509-24-25,Cape,12244,Indonesia,Indexim,INDO 4200 GAR,Trader,INDO 4200,IN 4200,INDEXIM 4200,Jan-25
P10152324,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,63000,Stock and Sales,AEL,Parcel A,MV NAVIOS AURORA II,Muara Berau Anchorage,Mundra,108-23-24,Cape,20559,Indonesia,BSSR,INDO 4000 GAR,Miner / Refiner,INDO 4000,BS 4000,BSSR 4000,Jun-23
P1512122,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,76757,SEB,NTPC,Parcel A,MV MG EARTH,Taboneo Anchorage,Goa,346-21-22,Panamax,25000,Indonesia,Padangbara,INDO 5000 GAR,Miner / Refiner,INDO 5000,PS 5000,PSM 5000,Mar-22
P1762122,Arrived at DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,20408,Stock and Sales,AEL,Parcel B,MV RACE,RBCT,Goa,287-21-22,Cape,43000,SA,SA Glencore,SA 5200 Min,Miner / Refiner,SA 5200,GI 5200,GIAG 5200,Jan-22
P21132425,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,40000,SEB,NTPC,Parcel A,MV AANYA,Abbot Point,SANDHEADS,417-23-24,Cape,250000,AUS - CM,BRAVUS - Carmichael,3000 - 5500 GAR,Miner / Refiner,AUS 5500,CM 5500,BRAVUS-CARMICHAEL 5500,Dec-23
P26852526,Completed At DP,00:00.0,00:00.0,00:00.0,00:00.0,00:00.0,76736,APL,UDUPI POWER,Parcel A,MV MANDY MORN,BOCT or Maura Berau Anchorage (Samarinda),New Mangalore,019-25-26,Panamax,18913,Indonesia,PT Bharinto Ekatama,INDO 5500 GAR,Miner / Refiner,INDO 5500,BA 5500,BANPU 5500,Apr-25
